DATE,RSXFSN
1/1/1992,130683
2/1/1992,131244
3/1/1992,142488
4/1/1992,147175
5/1/1992,152420
6/1/1992,151849
7/1/1992,152586
8/1/1992,152476
9/1/1992,148158
10/1/1992,155987
11/1/1992,154824
12/1/1992,191347
1/1/1993,137020
2/1/1993,134462
3/1/1993,153025
4/1/1993,158615
5/1/1993,163519
6/1/1993,162964
7/1/1993,164590
8/1/1993,163989
9/1/1993,159298
10/1/1993,163992
11/1/1993,169980
12/1/1993,206174
1/1/1994,145276
2/1/1994,146332
3/1/1994,173562
4/1/1994,170795
5/1/1994,175527
6/1/1994,178509
7/1/1994,173198
8/1/1994,182445
9/1/1994,175128
10/1/1994,178642
11/1/1994,184272
12/1/1994,221549
1/1/1995,158004
2/1/1995,155156
3/1/1995,181910
4/1/1995,176635
5/1/1995,190269
6/1/1995,191609
7/1/1995,182909
8/1/1995,193370
9/1/1995,182521
10/1/1995,184276
11/1/1995,193405
12/1/1995,227552
1/1/1996,167372
2/1/1996,173941
3/1/1996,191851
4/1/1996,191886
5/1/1996,205797
6/1/1996,196842
7/1/1996,197140
8/1/1996,204270
9/1/1996,189424
10/1/1996,201927
11/1/1996,203621
12/1/1996,237478
1/1/1997,181073
2/1/1997,178428
3/1/1997,203750
4/1/1997,199219
5/1/1997,211516
6/1/1997,205491
7/1/1997,208856
8/1/1997,211952
9/1/1997,201415
10/1/1997,210145
11/1/1997,207533
12/1/1997,249389
1/1/1998,187445
2/1/1998,183767
3/1/1998,207973
4/1/1998,212262
5/1/1998,221155
6/1/1998,220867
7/1/1998,217687
8/1/1998,216605
9/1/1998,208915
10/1/1998,220499
11/1/1998,218969
12/1/1998,265618
1/1/1999,196810
2/1/1999,199451
3/1/1999,230230
4/1/1999,227109
5/1/1999,237462
6/1/1999,236830
7/1/1999,236992
8/1/1999,240478
9/1/1999,230665
10/1/1999,233193
11/1/1999,240857
12/1/1999,293013
1/1/2000,213709
2/1/2000,227087
3/1/2000,253717
4/1/2000,239051
5/1/2000,257581
6/1/2000,255066
7/1/2000,244445
8/1/2000,257487
9/1/2000,243624
10/1/2000,245167
11/1/2000,252145
12/1/2000,294197
1/1/2001,226791
2/1/2001,223971
3/1/2001,253439
4/1/2001,249062
5/1/2001,268658
6/1/2001,260315
7/1/2001,251504
8/1/2001,266460
9/1/2001,236210
10/1/2001,265188
11/1/2001,262004
12/1/2001,298666
1/1/2002,230546
2/1/2002,228084
3/1/2002,257133
4/1/2002,257357
5/1/2002,271682
6/1/2002,260385
7/1/2002,266795
8/1/2002,277716
9/1/2002,246350
10/1/2002,259945
11/1/2002,263738
12/1/2002,308821
1/1/2003,242271
2/1/2003,233478
3/1/2003,264532
4/1/2003,265990
5/1/2003,281482
6/1/2003,271242
7/1/2003,279323
8/1/2003,285212
9/1/2003,265331
10/1/2003,273781
11/1/2003,272396
12/1/2003,327693
1/1/2004,252818
2/1/2004,253689
3/1/2004,287944
4/1/2004,284325
5/1/2004,296253
6/1/2004,289664
7/1/2004,294875
8/1/2004,294133
9/1/2004,282974
10/1/2004,287468
11/1/2004,294278
12/1/2004,354627
1/1/2005,263469
2/1/2005,265320
3/1/2005,306384
4/1/2005,302054
5/1/2005,311292
6/1/2005,317375
7/1/2005,316887
8/1/2005,321409
9/1/2005,300439
10/1/2005,302213
11/1/2005,311715
12/1/2005,370726
1/1/2006,286152
2/1/2006,282417
3/1/2006,326153
4/1/2006,316526
5/1/2006,337393
6/1/2006,330844
7/1/2006,325905
8/1/2006,339155
9/1/2006,310775
10/1/2006,312976
11/1/2006,323089
12/1/2006,380188
1/1/2007,295284
2/1/2007,290065
3/1/2007,335917
4/1/2007,321981
5/1/2007,353201
6/1/2007,338189
7/1/2007,333815
8/1/2007,349191
9/1/2007,317145
10/1/2007,331073
11/1/2007,341848
12/1/2007,387473
1/1/2008,307576
2/1/2008,308171
3/1/2008,334416
4/1/2008,331002
5/1/2008,357277
6/1/2008,339791
7/1/2008,344158
8/1/2008,342443
9/1/2008,313308
10/1/2008,311422
11/1/2008,299238
12/1/2008,346513
1/1/2009,273998
2/1/2009,264465
3/1/2009,290068
4/1/2009,292041
5/1/2009,307481
6/1/2009,306050
7/1/2009,308847
8/1/2009,314505
9/1/2009,288071
10/1/2009,300360
11/1/2009,303850
12/1/2009,362735
1/1/2010,279044
2/1/2010,275566
3/1/2010,321305
4/1/2010,316940
5/1/2010,324820
6/1/2010,319183
7/1/2010,320915
8/1/2010,322319
9/1/2010,307638
10/1/2010,315059
11/1/2010,328381
12/1/2010,386878
1/1/2011,298626
2/1/2011,299920
3/1/2011,345052
4/1/2011,339014
5/1/2011,348979
6/1/2011,346620
7/1/2011,341381
8/1/2011,352224
9/1/2011,333642
10/1/2011,337067
11/1/2011,351517
12/1/2011,408910
1/1/2012,315540
2/1/2012,331470
3/1/2012,368502
4/1/2012,349194
5/1/2012,373129
6/1/2012,356083
7/1/2012,351520
8/1/2012,372986
9/1/2012,342582
10/1/2012,355823
11/1/2012,368593
12/1/2012,416807
1/1/2013,333695
2/1/2013,332486
3/1/2013,374171
4/1/2013,362964
5/1/2013,389681
6/1/2013,369316
7/1/2013,376974
8/1/2013,388227
9/1/2013,352680
10/1/2013,369773
11/1/2013,378686
12/1/2013,430585
1/1/2014,340476
2/1/2014,337481
3/1/2014,383567
4/1/2014,383816
5/1/2014,408288
6/1/2014,385482
7/1/2014,394700
8/1/2014,401450
9/1/2014,374401
10/1/2014,388391
11/1/2014,391502
12/1/2014,451097
1/1/2015,350304
2/1/2015,341856
3/1/2015,393110
4/1/2015,387375
5/1/2015,409482
6/1/2015,397821
7/1/2015,406554
8/1/2015,404920
9/1/2015,381992
10/1/2015,392604
11/1/2015,396058
12/1/2015,464035
1/1/2016,351772
2/1/2016,363527
3/1/2016,404996
4/1/2016,394743
5/1/2016,413036
6/1/2016,410071
7/1/2016,405965
8/1/2016,416489
9/1/2016,394200
10/1/2016,397394
11/1/2016,413901
12/1/2016,482002
1/1/2017,369081
2/1/2017,365592
3/1/2017,423002
4/1/2017,407240
5/1/2017,434506
6/1/2017,423066
7/1/2017,416906
8/1/2017,431804
9/1/2017,412546
10/1/2017,417773
11/1/2017,441933
12/1/2017,496765
1/1/2018,389740
2/1/2018,380598
3/1/2018,444925
4/1/2018,420209
5/1/2018,464271
6/1/2018,443732
7/1/2018,441832
8/1/2018,456445
9/1/2018,417510
10/1/2018,442256
11/1/2018,460034
12/1/2018,493873
1/1/2019,399359
2/1/2019,384977
3/1/2019,447160
4/1/2019,442704
5/1/2019,475656
6/1/2019,448224
7/1/2019,461642
8/1/2019,472891
9/1/2019,428334
10/1/2019,455035
11/1/2019,467311
12/1/2019,518979
1/1/2020,416285
2/1/2020,413203
3/1/2020,428285
4/1/2020,375242
5/1/2020,460253
6/1/2020,478667
7/1/2020,492259
8/1/2020,487134
9/1/2020,474284
10/1/2020,494134
11/1/2020,491813
12/1/2020,558834
1/1/2021,462558
2/1/2021,438933
3/1/2021,565764
4/1/2021,557874
5/1/2021,567461
6/1/2021,560679
7/1/2021,554845
8/1/2021,553822
9/1/2021,532840
10/1/2021,557737
11/1/2021,579687
12/1/2021,632849
1/1/2022,518146
2/1/2022,506400
3/1/2022,597077
4/1/2022,594426
5/1/2022,607853
6/1/2022,607072
